"Date","MRP","Rf"
"2024-01-05",-0.018803512964965,0.000880290442594855
"2024-01-12",0.0163059472162324,0.00110048410649233
"2024-01-19",0.00991237669088685,0.000880290442594855
"2024-01-26",0.0104334786788931,0.00110048410649233
"2024-02-02",0.0118552341286846,0.00108046660074934
"2024-02-09",0.0148438793934247,0.00105044109261998
"2024-02-16",-0.00292614775474453,0.00105044109261998
"2024-02-23",0.0125491941889688,0.000840264637046229
"2024-03-01",0.0106023944745095,0.00105044109261998
"2024-03-08",-0.0038405124050922,0.00105044109261998
"2024-03-15",-0.00337792423897965,0.00105044109261998
"2024-03-22",0.0230694249191481,0.00105044109261998
"2024-03-28",0.00456462054748763,0.000840264637046229
"2024-04-05",-0.0115055732144629,0.00105044109261998
"2024-04-12",-0.016754440791889,0.00105044109261998
"2024-04-19",-0.0321175169907519,0.00105044109261998
"2024-04-26",0.0270772369448449,0.00105044109261998
"2024-05-03",0.00574509200879247,0.00102041618486859
"2024-05-10",0.0165623598655398,0.0010004000800079
"2024-05-17",0.0154322453174378,0.0010004000800079
"2024-05-24",-0.0019684296623349,0.0010004000800079
"2024-05-31",-0.00654494876490885,0.00080024003200152
"2024-06-07",0.00916361158083068,0.00110048410649233
"2024-06-14",0.0129315569450426,0.00110048410649233
"2024-06-21",0.00537648091686815,0.000880290442594855
"2024-06-28",8.36811383719827e-05,0.00110048410649233
"2024-07-05",0.0176117226889214,0.000840264637046229
"2024-07-12",0.0105740425440659,0.00105044109261998
"2024-07-19",-0.0192363080984482,0.00105044109261998
"2024-07-26",-0.00609028678898682,0.00105044109261998
"2024-08-02",-0.0277953972767104,0.00107045799797589
"2024-08-09",-0.00113942359539854,0.00110048410649233
"2024-08-16",0.0395558338908546,0.00110048410649233
"2024-08-23",0.0150164444994909,0.00110048410649233
"2024-08-30",0.000923934323826314,0.00110048410649233
"2024-09-06",-0.0454680754467975,0.00080024003200152
"2024-09-13",0.0411453295766231,0.0010004000800079
"2024-09-20",0.0149473244260419,0.0010004000800079
"2024-09-27",0.00499402275126815,0.0010004000800079
"2024-10-04",0.00199203402296955,0.000880309454336814
"2024-10-11",0.0114253649406291,0.000850289049134201
"2024-10-18",0.00826222884255645,0.000850289049134201
"2024-10-25",-0.0113913173978397,0.000850289049134201
"2024-11-01",-0.0114207554604896,0.000880309454336814
"2024-11-08",0.0513360149908857,0.0010004000800079
"2024-11-15",-0.0226748997840134,0.0010004000800079
"2024-11-22",0.0216750363065896,0.0010004000800079
"2024-11-29",0.00970789215419199,0.00080024003200152
"2024-12-06",0.0102149340572206,0.000850289049134201
"2024-12-13",-0.00924902069899891,0.000850289049134201
"2024-12-20",-0.0227358357208499,0.000850289049134201
"2024-12-27",0.00556675092855863,0.000680173419652874
"2024-12-31",-0.01544986,0.000340028899999956
